Play,avg_name_len,max_name_len,n
Football,13.94915254237288,26,59
Volleyball,15.022222222222222,25,45
Basketball,15.432432432432432,29,74
Baseball/Softball,13.653846153846153,21,26
Water Polo,14.636363636363637,21,22
Hockey,13.88888888888889,25,45
Handball,15.96551724137931,26,29
Rugby Sevens,13.48,30,25
Artistic Swimming,15.826086956521738,25,69
